Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation,Music,"By the end of Foundation, students describe the music they listen to at school, at home and in the community, identifying what they enjoy and why.",Exploring,"community,describe,enjoy,foundation,home,identifying,listen,music,school,students,what",VC2AMUFE01,High
Foundation,Music,Students sing with pitch awareness and respond to the beat and simple rhythm patterns.,Exploring,"awareness,beat,patterns,pitch,respond,rhythm,simple,sing,students",VC2AMUFD01,High
Foundation,Music,"They explore contrasting sounds and improvise with them, using imagination and skills to create music.",Creating,"contrasting,create,explore,imagination,improvise,music,skills,sounds,them,using","VC2AMUFE02,VC2AMUFD01,VC2AMUFC01",High
Foundation,Music,They sing and play instruments to communicate their experiences and ideas.,Exploring,"communicate,experiences,ideas,instruments,play,sing","VC2AMUFP01,VC2AMUFC01",High
Levels 1 and 2,Music,"By the end of Level 2, students identify where they experience music.",Exploring,"experience,identify,level,music,students,where",VC2AMU2E01,High
Levels 1 and 2,Music,"They describe where, why and how people across cultures, communities and other contexts experience music.",Exploring,"across,communities,contexts,cultures,describe,experience,music,other,people,where",VC2AMU2E01,High
Levels 1 and 2,Music,Students demonstrate listening skills when hearing and when making music.,Developing Practices,"demonstrate,hearing,listening,making,music,skills,students,when","VC2AMU2D01,VC2AMU2C01",High
Levels 1 and 2,Music,They use the elements of music to improvise and/or compose music.,Creating,"and/or,compose,elements,improvise,music","VC2AMU2D01,VC2AMU2C01",High
Levels 1 and 2,Music,They share their music-making with audiences in informal settings.,Presenting,"audiences,informal,music-making,settings,share",VC2AMU2P01,High
Levels 3 and 4,Music,"By the end of Level 4, students identify and describe how elements of music are used in music they compose and/or perform.",Presenting,"and/or,compose,describe,elements,identify,level,music,perform,students,used","VC2AMU4E01,VC2AMU4D01,VC2AMU4C01",High
Levels 3 and 4,Music,"They recall where, when, why and how music is created and presented across cultures, times, places and other contexts, including the music of Aboriginal and Torres Strait Islander Peoples.",Presenting,"aboriginal,across,contexts,created,cultures,including,islander,music,other,peoples,places,presented,recall,strait,times,torres,when,where","VC2AMU4E01,VC2AMU4E02",High
Levels 3 and 4,Music,"Students use listening skills when performing, composing and listening to music.",Presenting,"composing,listening,music,performing,skills,students,when","VC2AMU4E01,VC2AMU4E02,VC2AMU4D01,VC2AMU4C01,VC2AMU4P01",High
Levels 3 and 4,Music,"Students use music knowledge and skills to create music in a range of forms that communicates ideas, perspectives and meaning.",Creating,"communicates,create,forms,ideas,knowledge,meaning,music,perspectives,range,skills,students","VC2AMU4D01,VC2AMU4C01",High
Levels 3 and 4,Music,They perform their work in formal and informal settings.,Presenting,"formal,informal,perform,settings,work","VC2AMU4D01,VC2AMU4P01",High
Levels 5 and 6,Music,"By the end of Level 6, students demonstrate how elements of music contribute to music they compose, perform and experience.",Presenting,"compose,contribute,demonstrate,elements,experience,level,music,perform,students","VC2AMU6E01,VC2AMU6D01,VC2AMU6C01,VC2AMU6P01",High
Levels 5 and 6,Music,"They recall how music composed and/or performed across cultures, times, places and other contexts communicates ideas, perspectives and meaning.",Presenting,"across,and/or,communicates,composed,contexts,cultures,ideas,meaning,music,other,performed,perspectives,places,recall,times","VC2AMU6E01,VC2AMU6E02",High
Levels 5 and 6,Music,"They identify how music is used to continue and revitalise cultures, including in the works of Aboriginal and Torres Strait Islander Peoples.",Developing Practices,"aboriginal,continue,cultures,identify,including,islander,music,peoples,revitalise,strait,torres,used,works","VC2AMU6E01,VC2AMU6E02",High
Levels 5 and 6,Music,"Students demonstrate listening and aural skills when listening, composing and performing.",Presenting,"aural,composing,demonstrate,listening,performing,skills,students,when","VC2AMU6D01,VC2AMU6C01,VC2AMU6P01",High
Levels 5 and 6,Music,"They select and use elements of music and compositional devices to compose music that communicates ideas, and when practising music for a performance, and documenting and/or recording the music they compose.",Presenting,"and/or,communicates,compose,compositional,devices,documenting,elements,ideas,music,performance,practising,recording,select,when","VC2AMU6D01,VC2AMU6C01",High
Levels 5 and 6,Music,"They perform music in formal and informal settings, identifying different audiences.",Presenting,"audiences,different,formal,identifying,informal,music,perform,settings",VC2AMU6P01,High
Levels 7 and 8,Music,"By the end of Level 8, students analyse how the elements of music and compositional devices are manipulated in music they compose, perform and experience.",Presenting,"analyse,compose,compositional,devices,elements,experience,level,manipulated,music,perform,students","VC2AMU8E01,VC2AMU8E02,VC2AMU8D02,VC2AMU8C01,VC2AMU8C02",High
Levels 7 and 8,Music,"They describe ways music from across cultures, times, places and other contexts communicates ideas, perspectives and meaning, including in the works of Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,across,communicates,contexts,cultures,describe,ideas,including,islander,meaning,music,other,peoples,perspectives,places,strait,times,torres,ways,works","VC2AMU8E01,VC2AMU8E02,VC2AMU8D02",High
Levels 7 and 8,Music,"They identify and describe how and why respectful approaches are used in composing, performing and responding to music.",Presenting,"approaches,composing,describe,identify,music,performing,respectful,responding,used","VC2AMU8E01,VC2AMU8E02,VC2AMU8D02",High
Levels 7 and 8,Music,"Students exploit elements of music and compositional devices and demonstrate listening and aural skills to compose music that communicates ideas, perspectives and meaning.",Creating,"aural,communicates,compose,compositional,demonstrate,devices,elements,exploit,ideas,listening,meaning,music,perspectives,skills,students","VC2AMU8D01,VC2AMU8D02,VC2AMU8C01,VC2AMU8C02",High
Levels 7 and 8,Music,They document/notate and/or record the music they compose.,Creating,"and/or,compose,document/notate,music,record","VC2AMU8D02,VC2AMU8C02",High
Levels 7 and 8,Music,They manipulate elements of music when performing their own and others’ music.,Presenting,"elements,manipulate,music,others’,performing,when","VC2AMU8D01,VC2AMU8D02,VC2AMU8C01,VC2AMU8C02,VC2AMU8P01",High
Levels 7 and 8,Music,They demonstrate performance skills when performing music for audiences.,Presenting,"audiences,demonstrate,music,performance,performing,skills,when",VC2AMU8P01,High
Levels 9 and 10,Music,"By the end of Level 10, students analyse and evaluate ways the elements of music and compositional devices are exploited to engage audiences in music they compose, perform and experience.",Presenting,"analyse,audiences,compose,compositional,devices,elements,engage,evaluate,experience,exploited,level,music,perform,students,ways","VC2AMU10E01,VC2AMU10D02",High
Levels 9 and 10,Music,"They investigate ways music from across cultures, times, places and other contexts communicates ideas, perspectives and meaning, including the practices of Aboriginal and Torres Strait Islander musicians.",Exploring,"aboriginal,across,communicates,contexts,cultures,ideas,including,investigate,islander,meaning,music,musicians,other,perspectives,places,practices,strait,times,torres,ways","VC2AMU10E01,VC2AMU10E02,VC2AMU10D02",High
Levels 9 and 10,Music,"They evaluate how music is used to celebrate and challenge perspectives of Australian identity, including those of Aboriginal and Torres Strait Islander Peoples.",Developing Practices,"aboriginal,australian,celebrate,challenge,evaluate,identity,including,islander,music,peoples,perspectives,strait,torres,used","VC2AMU10E01,VC2AMU10E02,VC2AMU10D02",High
Levels 9 and 10,Music,"Students demonstrate listening skills relevant to the styles in which they are working when composing, arranging and performing.",Presenting,"arranging,composing,demonstrate,listening,performing,relevant,skills,students,styles,when,working","VC2AMU10D01,VC2AMU10D02",High
Levels 9 and 10,Music,They document/notate and/or record their music.,Exploring,"and/or,document/notate,music,record","VC2AMU10D02,VC2AMU10C01,VC2AMU10C02",High
Levels 9 and 10,Music,They manipulate elements of music appropriate to the style when performing their own or others’ music.,Presenting,"appropriate,elements,manipulate,music,others’,performing,style,when","VC2AMU10C01,VC2AMU10C02",High
Levels 9 and 10,Music,"They use music elements and compositional devices to compose music that communicates ideas, perspectives and meaning.",Creating,"communicates,compose,compositional,devices,elements,ideas,meaning,music,perspectives","VC2AMU10C01,VC2AMU10C02",High
Levels 9 and 10,Music,They demonstrate performance skills when performing music for audiences.,Presenting,"audiences,demonstrate,music,performance,performing,skills,when",VC2AMU10P01,High
