Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,Foundation B,Language,Language for interacting with others,VC2EFBLA01,Use their preferred communication modality to indicate a preference,,"Repeating actions to obtain a preferred response; for example, pressing repeatedly on a voice-output device"
English,Foundation B,Language,Language for interacting with others,VC2EFBLA01,Use their preferred communication modality to indicate a preference,,"Using gestures, facial expressions, movements, signed language, spoken language, voice-output devices and/or images to communicate preferences"
English,Foundation B,Language,Language for interacting with others,VC2EFBLA01,Use their preferred communication modality to indicate a preference,,"Imitating a sound associated with an action or object, for example animal or everyday sounds"
English,Foundation B,Language,Language for interacting with others,VC2EFBLA01,Use their preferred communication modality to indicate a preference,,Making a request for a motivating item by exchanging a symbol
English,Foundation B,Language,Language for interacting with others,VC2EFBLA01,Use their preferred communication modality to indicate a preference,,"Pointing to their drink bottle and saying, ‘More.’, or shaking their head and pointing to a symbol of food"
English,Foundation B,Language,Text structure and organisation,VC2EFBLA02,Turn pages and identify the appropriate orientation of print and digital texts,,Participating in shared reading opportunities and exploring key features of a book
English,Foundation B,Language,Text structure and organisation,VC2EFBLA02,Turn pages and identify the appropriate orientation of print and digital texts,,Reaching for a book or patting the pages when it is being read
English,Foundation B,Language,Text structure and organisation,VC2EFBLA02,Turn pages and identify the appropriate orientation of print and digital texts,,Opening and closing a book
English,Foundation B,Language,Text structure and organisation,VC2EFBLA02,Turn pages and identify the appropriate orientation of print and digital texts,,Looking at or pointing to pictures
English,Foundation B,Language,Text structure and organisation,VC2EFBLA02,Turn pages and identify the appropriate orientation of print and digital texts,,Turning multiple pages at a time during a shared reading experience
English,Foundation B,Language,Text structure and organisation,VC2EFBLA02,Turn pages and identify the appropriate orientation of print and digital texts,,Activating a switch or swiping on a screen to go to the next page in a digital text
English,Foundation B,Language,Language for expressing and developing ideas,VC2EFBLA03,"Use their preferred communication modality to describe an object with a single gesture, symbol or word",,"Choosing from a prepared selection of images of attributes to describe an object; for example, choosing ‘big’ to describe a car"
English,Foundation B,Language,Language for expressing and developing ideas,VC2EFBLA03,"Use their preferred communication modality to describe an object with a single gesture, symbol or word",,"Using gestures, facial expressions, movements, signed language, spoken language, voice-output devices and/or images to describe an object; for example, communicating ‘hot’ or ‘cold’ when presented with an iceblock or heat pack"
English,Foundation B,Language,Language for expressing and developing ideas,VC2EFBLA04,Identify a favourite image in print or digital text,,"Matching an image on a page with a representation of that image (object or symbol) from a small collection in response to a question about a story, for example an image of a dog in a story where the main character is a dog"
English,Foundation B,Language,Language for expressing and developing ideas,VC2EFBLA04,Identify a favourite image in print or digital text,,"Selecting an object, image or symbol in response to a question or direction related to a text; for example, choosing a character from a collection of images"
English,Foundation B,Language,Language for expressing and developing ideas,VC2EFBLA05,"Recognise and name familiar objects, actions and activities",,"Recognising the sounds and prompts for routines, for example images and/or symbols that indicate group learning, and bells or music to signal mealtimes"
English,Foundation B,Language,Language for expressing and developing ideas,VC2EFBLA05,"Recognise and name familiar objects, actions and activities",,"Recognising or responding when familiar objects are named, for example their own schoolbag, clothing, lunch box and/or drink bottle"
English,Foundation B,Language,Language for expressing and developing ideas,VC2EFBLA05,"Recognise and name familiar objects, actions and activities",,"Identifying a picture or illustration in a book when named, for example by pointing or using eye gaze"
English,Foundation B,Literature,Literature and contexts,VC2EFBLE01,Identify an event in literary texts by Aboriginal and Torres Strait Islander authors and illustrators and a range of Australian and world authors and illustrators,,"Listening to and/or viewing stories by Aboriginal and Torres Strait Islander storytellers from print, visual, digital and multimodal sources"
English,Foundation B,Literature,Literature and contexts,VC2EFBLE01,Identify an event in literary texts by Aboriginal and Torres Strait Islander authors and illustrators and a range of Australian and world authors and illustrators,,"Responding to an event in a story, for example when a dog chases a ball in a park"
English,Foundation B,Literature,Engaging with and responding to literature,VC2EFBLE02,Respond to an event in a story,,"Looking to locate the source of sounds associated with a text; for example, responding to animal noises produced by the reader or generated from a sound-output device when being read a text about animals"
English,Foundation B,Literature,Engaging with and responding to literature,VC2EFBLE02,Respond to an event in a story,,"Recognising words and/or images for common objects, such as ‘book’"
English,Foundation B,Literature,Engaging with and responding to literature,VC2EFBLE02,Respond to an event in a story,,Participating in stories that have a repetitive and/or anticipatory event
English,Foundation B,Literature,Examining literature,VC2EFBLE03,Identify an event in a familiar text,,Selecting an image or sound that represents an event described in a story
English,Foundation B,Literature,Examining literature,VC2EFBLE03,Identify an event in a familiar text,,Choosing the correct image from a selection of 2 to represent an event in text
English,Foundation B,Literature,Examining literature,VC2EFBLE03,Identify an event in a familiar text,,"Matching an image or word that represents an event in a text; for example, choosing an image of a cake to represent a celebration in a book"
English,Foundation B,Literature,Examining literature,VC2EFBLE04,"Respond to chants, rhymes and songs",,"Demonstrating awareness of or interest in familiar chants, rhymes and songs"
English,Foundation B,Literature,Examining literature,VC2EFBLE04,"Respond to chants, rhymes and songs",,"Participating in activities that use music to explore and support familiarisation of chants, rhymes and songs"
English,Foundation B,Literature,Examining literature,VC2EFBLE04,"Respond to chants, rhymes and songs",,"Using body language to respond to repeated sounds, chants and rhymes"
