SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Elaboration
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Economic literacy,VC2HE8K01,"The basic economic problem of scarcity and how it necessitates economic decision-making based on costs and benefits, incentives and opportunity cost","Investigating how Aboriginal and Torres Strait Islander communities made/make economic decisions about the use and distribution of scarce resources and historic examples of Aboriginal and Torres Strait Islander economic activity (for example, eel farms in south-west Victoria, ochre mines in Western Australia or trade routes) and comparing these to the economic activity in another period of history, such as in a medieval village, or to contemporary examples of Aboriginal and Torres Strait Islander-operated business enterprises"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Economic literacy,VC2HE8K01,"The basic economic problem of scarcity and how it necessitates economic decision-making based on costs and benefits, incentives and opportunity cost",Investigating the concept of opportunity cost as an important consideration during economic decision-making
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Economic literacy,VC2HE8K01,"The basic economic problem of scarcity and how it necessitates economic decision-making based on costs and benefits, incentives and opportunity cost",Investigating reasons for price fluctuations of specific products
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Economic literacy,VC2HE8K01,"The basic economic problem of scarcity and how it necessitates economic decision-making based on costs and benefits, incentives and opportunity cost","Keeping a record of personal economic decisions made over a period of time and noting the opportunity cost of each decision taken, both in material and non-material terms"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Economic literacy,VC2HE8K02,"How the operation of a free market driven by supply and demand, and consumer sovereignty, acts to influence the use and allocation of scarce economic resources through the price mechanism","Constructing a demand and supply diagram to illustrate the operation of the price mechanism and explaining how price is the means by which decisions of consumers and businesses interact to determine the allocation of resources; for example, when the price of a good or service rises, resources are redirected to produce additional goods and services"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Economic literacy,VC2HE8K02,"How the operation of a free market driven by supply and demand, and consumer sovereignty, acts to influence the use and allocation of scarce economic resources through the price mechanism",Observing an auction and discussing afterwards how and why the final price of the product sold was determined
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Economic literacy,VC2HE8K02,"How the operation of a free market driven by supply and demand, and consumer sovereignty, acts to influence the use and allocation of scarce economic resources through the price mechanism",Discussing the concept of consumer sovereignty and identifying examples in which consumer demand determines the price and distribution of goods and services
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Economic literacy,VC2HE8K02,"How the operation of a free market driven by supply and demand, and consumer sovereignty, acts to influence the use and allocation of scarce economic resources through the price mechanism","Identifying examples in which consumer demand does not determine the price and distribution of goods and services (for example, rationing during wartime, essential services such as health and public transport), discussing examples of goods and services that sell for both high prices and low prices, and identifying the factors that influence the setting of price, such as factors influencing the cost of petrol, including available supply, level of consumer demand, costs of production and competition in the market"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Business and entrepreneurship,VC2HE8K03,"The different purposes and goals of businesses, different categories of business organisation according to ownership structure, types of products, target market, and how businesses can identify and take advantage of market opportunity","Investigating different business ownership structures, including sole proprietorship, partnership and corporate structures, and the advantages and disadvantages of each"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Business and entrepreneurship,VC2HE8K03,"The different purposes and goals of businesses, different categories of business organisation according to ownership structure, types of products, target market, and how businesses can identify and take advantage of market opportunity","Examining and comparing different businesses in the local community according to product types, ownership structure and target market, and presenting this as a visual representation"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Business and entrepreneurship,VC2HE8K03,"The different purposes and goals of businesses, different categories of business organisation according to ownership structure, types of products, target market, and how businesses can identify and take advantage of market opportunity","Identifying and listing the reasons why different businesses exist, for example to produce goods and services, to make a profit or to provide employment, and categorising businesses into either primary, secondary or service (tertiary) sectors"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Business and entrepreneurship,VC2HE8K03,"The different purposes and goals of businesses, different categories of business organisation according to ownership structure, types of products, target market, and how businesses can identify and take advantage of market opportunity","Comparing 2 local businesses according to products, business structure, size and goals/purpose and presenting the comparison as a poster"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Business and entrepreneurship,VC2HE8K03,"The different purposes and goals of businesses, different categories of business organisation according to ownership structure, types of products, target market, and how businesses can identify and take advantage of market opportunity",Investigating and mapping how Aboriginal and Torres Strait Islander Peoples developed and used exchange systems (barter) to trade/conduct commerce historically
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Business and entrepreneurship,VC2HE8K04,"Entrepreneurship and the link to business success, including Aboriginal and/or Torres Strait Islander-owned businesses and entrepreneurs","Investigating a business operated by Aboriginal and/or Torres Strait Islander people, exploring the types of goods and services offered, considering why this business was started, its target market and its history, and describing the characteristics of the specific Aboriginal and/or Torres Strait Islander entrepreneurs involved"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Business and entrepreneurship,VC2HE8K04,"Entrepreneurship and the link to business success, including Aboriginal and/or Torres Strait Islander-owned businesses and entrepreneurs","Discussing how businesses identify niches and gaps in established markets and potential new market opportunities, considering case studies of successful businesses and how each recognised potential gaps in a market or new market opportunities"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Business and entrepreneurship,VC2HE8K04,"Entrepreneurship and the link to business success, including Aboriginal and/or Torres Strait Islander-owned businesses and entrepreneurs","Identifying examples of entrepreneurs and the entrepreneurial knowledge, skills and capabilities that an entrepreneur brings to a business, such as the ability to recognise opportunities, establish a shared vision, preparedness to undertake risk and the ability to make appropriate decisions about how the business is conducted"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Business and entrepreneurship,VC2HE8K04,"Entrepreneurship and the link to business success, including Aboriginal and/or Torres Strait Islander-owned businesses and entrepreneurs","Identifying examples of entrepreneurs who have used new technologies, or another type of innovation, to gain a competitive advantage, for example ride share, food delivery apps and online retail"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K05,The reasons people work and the different ways Australians can derive an income,"Identifying different categories of work (full time, part time, casual, at home, unrecognised and volunteer)"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K05,The reasons people work and the different ways Australians can derive an income,"Analysing the different ways work contributes to an individual’s identity and role within a community; for example, earning an income, status, self-esteem, happiness"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K05,The reasons people work and the different ways Australians can derive an income,Analysing the importance of work to the community in ways such as volunteering and enhancing material and non-material living standards
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K05,The reasons people work and the different ways Australians can derive an income,"Identifying the different ways Australians can derive an income, such as working for a wage or salary, owning a business, investment in shares, rental of assets or a social security benefit"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K05,The reasons people work and the different ways Australians can derive an income,"Considering and listing different reasons people work (for example, to earn money, self-esteem, status, interest, for social reasons) and listing the factors from most to least important to them personally"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K06,The changing nature of work in contemporary Australia and predictions about the future of work,"Identifying and explaining changes to work and the workforce over time, for example the types of jobs available, the changes in status for a particular job, changes in tasks done in a job, career length and employment patterns, occupational health and safety, changes to laws affecting workplaces"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K06,The changing nature of work in contemporary Australia and predictions about the future of work,"Investigating a specific change affecting workers, such as the rise of the gig economy, occupational health and safety laws or working from home, and then analysing the advantages and disadvantages of the changes for both employees and employers"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K06,The changing nature of work in contemporary Australia and predictions about the future of work,"Investigating contemporary factors influencing and promoting workplace change, such as technological development, changing community attitudes, and international or global factors, such as war and pandemic"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K06,The changing nature of work in contemporary Australia and predictions about the future of work,"Interviewing someone who has worked for more than 30 years to find out how their job has changed over time in terms of hours worked, wages and conditions, skills required and job satisfaction"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Work,VC2HE8K06,The changing nature of work in contemporary Australia and predictions about the future of work,"Listing 5 jobs that have largely disappeared over the last 100 years and the reasons for this, and 5 jobs that have emerged in the last 50 years, and then predicting 5 jobs that might be created within the next 50 years"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K07,The legal and ethical rights and responsibilities of Australian consumers and businesses,"Distinguishing between rights and responsibilities, and creating and analysing a list of the rights and responsibilities for individual consumers and businesses and dividing these into the categories of legal and ethical rights and responsibilities"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K07,The legal and ethical rights and responsibilities of Australian consumers and businesses,"Explaining the legal rights and responsibilities of individuals and businesses for consumer and financial products and services in Australia, for example warranties, cooling off periods and processes for returning goods"
HASS,Economics and Business,Levels 7 and 8,Knowledge and Understanding,Consumer and financial literacy,VC2HE8K07,The legal and ethical rights and responsibilities of Australian consumers and businesses,"Discussing the ethical, social and legal responsibilities of businesses for consumer and financial products and services, such as the role of mandatory and voluntary standards, and product safety recalls"
