Subject,Term,Definition
Mathematics,Acute angle,See: angle.
Mathematics,Addition (sum),"**Addition** is one of the basic operations of arithmetic and algebra and involves the combination of 2 or more quantities using the + operator. Simple examples could include 3 + 4 = 7 or x + y = 10. The inverse operation of addition is **subtraction**. Addition may be defined more formally depending on the context. For example: - for natural numbers, addition may be defined in terms of counting - addition of real numbers may be modelled using lengths of joined, distinct line segments on a number line - for sets, if n(A) represents the number of elements of a set A, and sets A and B are disjoint sets (that is, they have no elements in common), then:\ n(A ∪ B) = n(A) + n(B). - the addition of 2 fractions is defined by using a common denominator, for example: 1/4 + 2/3 = 3/12 + 8/12 = 11/12. See also: fraction, inverse operations, number line, subtraction."
Mathematics,Addition facts,**Addition facts** are the results associated with the sums of pairs of natural numbers from 0 to 9. They are foundational to arithmetic.
Mathematics,Additive,"An **additive** is a situation or relationship that involves addition, subtraction or both: for example, giving change from a simple money transaction."
Mathematics,Adjacent,"The term **adjacent** has several meanings depending on the mathematical context. For example, in a graph (network), 2 vertices (nodes) are adjacent if they are joined by an edge. In geometry, 2 lines are adjacent if they meet at a common vertex and 2 faces in a shape are said to be adjacent if they meet at a common edge. Two fractions are adjacent if the difference between these 2 fractions is a fraction with a unit numerator (a numerator of one): for example, 1/3and 1/4 are adjacent since 1/3 - 1/4 = 4/12 - 3/12 = 1/12. See also: adjacent angle, edge, unit fraction."
Mathematics,Adjacent angle,"Two angles at a point are called **adjacent** if they share a common ray and a common vertex and lie on opposite sides of the common ray. In the diagram, the angles ∠*AOC* and ∠*BOC* are adjacent. (See diagram in Mathematics Glossary document on VCAA website)"
Mathematics,Algebra,"**Algebra** may be considered as the process of manipulating variables and constants in a mathematical expression according to fixed laws, properties or rules (for example, simplifying an expression or solving an equation). Alternatively, algebra may refer more broadly to a mathematical structure whose elements and operations satisfy a given collection of laws, and the abstract study of this structure. See also: algebraic expression, algebraic term, variable."
Mathematics,Algebraically,"Carrying out a process symbolically using variables, constants, operations and rules is carrying it out **algebraically**."
Mathematics,Algebraic expression,"An **algebraic** **expression** is formed by combining numbers and algebraic symbols using arithmetic operations. The expression is constructed unambiguously according to the conventions and rules of algebra. For example, a² + 3ab - 2b² is an algebraic expression, while 2x + ÷ 3 is not a properly formed expression."
Mathematics,Algebraic fraction,"An **algebraic** **fraction** is a fraction in which both the numerator and denominator are algebraic expressions. For example, 2x/y and √(a)/3 are algebraic fractions."
Mathematics,Algebraic term,"An **algebraic term** is a simple algebraic expression that is often combined with other terms using operations, to form a more complicated algebraic expression. For example, 5x and (3x + 2) are terms of the quadratic expression 5x(3x + 2), while x² and 5/x are terms of the expression x² + 5/x . See also: algebraic expression, quadratic expression."
Mathematics,Algorithm,"An **algorithm** is a process that can be carried out systematically, using a well-defined set of instructions, to perform a particular task or solve a type of problem. Examples of mathematical algorithms include processes for tasks such as ordering a set of numbers from smallest to largest, multiplying many-digit decimal numbers, factorising linear expressions, determining which of 2 fractions is larger, bisecting an angle, or calculating the mean of a set of numbers."
Mathematics,Algorithmic thinking,"**Algorithmic thinking** is the type of thinking required to design, test and evaluate problem-solving processes in a systematic way, using algorithms. See also: algorithm."
Mathematics,Allied angle,See: co-interior angle.
Mathematics,Alternate angle,"Consider a transversal (line) intersecting a pair of lines (which may or may not be parallel). Angles that are formed at the intersection of these lines with the transversal, within the two lines, and on opposite sides of the transversal, are called **alternate angles**. An example of 2 alternate angles are the angles a and d in the following diagram. If the pair of lines intersected by the transversal are *parallel*, then the pair of alternate angles will *both be the same size*. Conversely, if the 2 alternate angles are the same size, then the 2 lines that are intersected by the transversal are parallel. The angles a and b (wherea = b = 55° ) in the diagram below, demonstrate this property. See also: angle, transversal, parallel."
Mathematics,Angle,"An **angle** is the figure formed by 2 rays sharing a common endpoint, called the vertex of the angle. An angle is typically indicated using an arc and labelled with a letter. Letters used are commonly either Roman, such as a, b, c, or Greek, such as α (alpha), β (beta), γ(gamma) and *θ* (theta). If the vertex point is labelled as well as a point on each of the rays, these can also be used to indicate an angle. For example, the angle *AOB*, with vertex *O*, is written ∠*AOB* and is shown in the diagram below: (See diagram in Mathematics Glossary document on VCAA website) Imagine that the ray *OB* is rotated about the point *O* until it lies along *OA*. The amount of turning is called a **measure** of the angle *AOB*. There are 3 common measures of angle: 1. fraction of a full turn (where one full turn or revolution is 360 degrees or 2*π* radian) 2. degree 3. radian. Angles are also classified according to their angle measure. An angle with size α is: - **acute** if 0° \< α \< 90° - a **right** **angle** if α = 90° - **obtuse** if 90° \< α \< 180° - a **straight** **angle** if α = 180° - **reflex** if 180° \< α \< 360° - a **revolution** **(full rotation)** if α = 360°. Possible diagrammatic representations of each type are in the table below. ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ Acute Right Obtuse Straight Reflex Revolution ---------------------------------------------------- ----------- ---------------------------------------------------- ---------------------------------------------------- ---------------------------------------------------- ---------------------------------------------------- (See diagram in Mathematics Glossary document on VCAA website) height=""0.7763484251968504in""} height=""0.3649846894138233in""} height=""0.5314654418197725in""} height=""0.5401454505686789in""} ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ See also: alternate angle, complementary angles, co-interior angle, corresponding angles, degree, radian, ray, revolution, right angle, straight angle, supplementary angles, vertex."
Mathematics,Angle of elevation and angle of depression,"When an observer looks at an object that is higher than the horizontal, the angle between the line of sight and the horizontal is called the **angle of elevation**. (See diagram in Mathematics Glossary document on VCAA website)(See diagram in Mathematics Glossary document on VCAA website) When an observer looks at an object that is lower than the horizontal, the angle between the line of sight and the horizontal is called the **angle of depression**. See also: angle. (See diagram in Mathematics Glossary document on VCAA website)(See diagram in Mathematics Glossary document on VCAA website)"
Mathematics,Angles at a point,The sum of the angles with vertices at a common point in the plane is equivalent to 4 right angles or 360 degrees. This spatial fact can be applied to determine the size of missing angles. (See diagram in Mathematics Glossary document on VCAA website)
Mathematics,Angles on a straight line,The sum of the angles that form a straight line is equivalent to 2 right angles or 180 degrees. This spatial fact can be applied to determine the size of missing angles. (See diagram in Mathematics Glossary document on VCAA website)
Mathematics,Approximate/approximation,"To **approximate**, or make/use an **approximation**, is to obtain or state a value to a particular accuracy. For example, the fraction 22/7 provides an approximate value for the irrational real number π. Rounded correct to 4 decimal places, 22/7 has the value 3.1429, while π has the value 3.1416. These values are themselves decimal approximations to 22/7 and π respectively because they have been rounded. Approximation may be used in a range of mathematical contexts. For example, in geometry, while it is not possible to trisect any angle exactly using only a compass and ruler, it is possible to approximate such a trisection with reasonable accuracy. See also: estimation."
Mathematics,Arc,A part of a circle's circumference is called an **arc**. See also: circle.
Mathematics,Area,"The amount of interior space bounded by the perimeter of a shape. In the plane, **area** is the measure of 'material' needed to completely cover a given two-dimensional figure, shape or region. This region may be contained within a shape (such as a polygon or circle) or bound by graphs of relations in the plane. Some useful formulas for area, defined in terms of linear variables associated with a shape, include the following. ----------------------------------------------------------------------- **Shape** **Formula** **Linear variables** --------------- ------------------ ------------------------------------ triangle A = 1/2bh b is the base and h is the height square A = s² s is the length of one side of the square rectangle, A = bh b is the base and h is the height parallelogram trapezium A = (a + b/2)h a and b are the lengths of the 2 parallel sides, h is the height circle A = πr² r is the radius of the circle ellipse A = πab a and b are the horizontal and vertical semi-axes respectively -----------------------------------------------------------------------"
Mathematics,Array,"An **array** is an ordered collection of objects or numbers. For example, the following is a triangular array of dots: (See diagram in Mathematics Glossary document on VCAA website) A rectangular array of numbers is also called a **matrix** (plural: matrices). For example, the following matrix represents the fitness ratings on a scale of 0--100 for 3 students measured in each of 4 school terms (students would be represented by the row, their fitness score for each term would be recorded in the columns): > (See diagram in Mathematics Glossary document on VCAA website)"
Mathematics,Associative,"An operation is **associative** if the result of applying the operation to any 3 elements of an expression is the same regardless of which pair of elements (without changing their order) is combined first. Addition and multiplication are associative on the set of natural numbers, for example: 4 + (7 + 5) = 4 + 12 = 16 and (4 + 7) + 5 = 11 + 5 = 16 2 × (3 × 4) = 2 × 12 = 24 and (2 × 3) × 4 = 6 × 4 = 24 Subtraction and division are *not* associative on the set of natural numbers. For example: 10 − (4 − 2) = 10 − 2 = 8 but (10 − 4) − 2 = 6 − 2 = 4 24 ÷ (12 ÷ 2) = 24 ÷ 6 = 4 but (24 ÷ 12) ÷ 2 = 2 ÷ 2 = 1 See also: associative laws."
Mathematics,Associative laws,"In general, the **associative laws** (properties) for addition and multiplication of real numbers state respectively that *for all* real numbers a, b and c: a + ( b + c ) = ( a + b ) + c and a × ( b × c ) = ( a × b ) × c"
Mathematics,Assumption,"An **assumption** is a proposition (a statement or assertion) that is taken as being true with respect to a given context. For example, in a modelling problem to design a seating arrangement in a theatre, it may be assumed that the height of the people watching the movie is no greater than 200 cm. This is reasonable given the context."
Mathematics,Asymptote,"An asymptote is a line or curve that closely approaches a given curve but does not meet it. For example, the graph below shows the 2 asymptotes x = 0 and y = 0 (in red) for the function (x) = 1/x. (See diagram in Mathematics Glossary document on VCAA website)"
Mathematics,Average,See: mean.
Mathematics,Axis (plural: axes),"An **axis** is a line that a curve, figure or function is drawn relative to. The plural of axis is **axes**. A commonly used set of axes are the 2 perpendicular Cartesian axes (normally labelled as x and y) that allow points and curves to be defined on the Cartesian plane. See also: Cartesian plane."
Mathematics,Back-to-back stem-and-leaf plot,See: stem-and-leaf plot (stemplot).
Mathematics,Bar chart,See: column graph.
