Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Levels 3 and 4,Civics and Citizenship,"By the end of Level 4, students explain how decisions can be made democratically and the role of local government.",Knowledge and Understanding,"level,explain,decisions,made,democratically,role,local,government","VC2HC4K02,VC2HC4K03",High
Levels 3 and 4,Civics and Citizenship,They describe the importance of rules and distinguish between rules and laws.,Knowledge and Understanding,"describe,importance,rules,distinguish,between,laws",VC2HC4S04,High
Levels 3 and 4,Civics and Citizenship,"Students describe how people participate in their community as active citizens, their rights and responsibilities, and factors that shape a person’s identity and communities.",Knowledge and Understanding,"describe,people,participate,community,active,citizens,rights,responsibilities,factors,shape,person,identity,communities","VC2HC4S05, VC2HC4S06, VC2HC4S07",High
Levels 3 and 4,Civics and Citizenship,Students identify questions to investigate civics and citizenship issues.,Skills,"identify,questions,investigate,civics,citizenship,issues",VC2HC4S01,High
Levels 3 and 4,Civics and Citizenship,They describe democratic institutions and systems using information and sources.,Skills,"describe,democratic,institutions,systems,using,information,sources","VC2HC4K01,VC2HC4S03",High
Levels 3 and 4,Civics and Citizenship,They describe contemporary civics and citizenship issues and use consensus-building and deliberation to negotiate outcomes together.,Skills,"describe,contemporary,civics,citizenship,issues,consensus,building,deliberation,negotiate,outcomes,together","VC2HC4S02,VC2HC4S04,VC2HC4S05",High
Levels 5 and 6,Civics and Citizenship,"By the end of Level 6, students explain the values and features of Australia’s democratic institutions and systems, including the 3 levels of government and electoral systems.",Knowledge and Understanding,"level,explain,values,features,australia,democratic,institutions,systems,including,levels,government,electoral","VC2HC6K01,VC2HC6K02,VC2HC6K03",High
Levels 5 and 6,Civics and Citizenship,"They explain the roles and responsibilities of key institutions, including how legislation is made and law enforcement.",Knowledge and Understanding,"explain,roles,responsibilities,institutions,including,legislation,made,enforcement","VC2HC6K04,VC2HC6K06",High
Levels 5 and 6,Civics and Citizenship,Students explain the different meanings of citizenship and the roles and responsibilities associated with different kinds of citizenship.,Knowledge and Understanding,"explain,different,meanings,citizenship,roles,responsibilities,associated,kinds","VC2HC6K05,VC2HC6K07",High
Levels 5 and 6,Civics and Citizenship,"Students develop questions to investigate civics and citizenship issues, using different sources.",Skills,"develop,questions,investigate,civics,citizenship,issues,using,different,sources","VC2HC6S01,VC2HC6S02",High
