SubjectArea,Subject,Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
HPE,Health and Physical Education,Foundation,VC2HPFP01,VCHPEP057,Identify personal strengths,Refined,Refined
HPE,Health and Physical Education,Foundation,VC2HPFP02,VCHPEP058,Name parts of the body and describe how their body is growing and changing,Refined,No change
HPE,Health and Physical Education,Foundation,VC2HPFP03,VCHPEP060,Practise personal and social skills to interact with others,Refined,Refined with use of ‘respectfully’ to establish specific Respectful Relationships thread
HPE,Health and Physical Education,Foundation,VC2HPFP04,VCHPEP061,Identify and describe emotional responses people may experience in different situations,Refined,Refined with a more modest starting point in what students are expected to do with this knowledge
HPE,Health and Physical Education,Foundation,VC2HPFP05,,,New,New content description
HPE,Health and Physical Education,Foundation,VC2HPFP06,VCHPEP059,Identify people and actions that help keep themselves safe and healthy,Refined,‘People and actions’ replaced by contemporary term ‘protective behaviours’
HPE,Health and Physical Education,Foundation,VC2HPFP07,VCHPEP062,"Identify actions that promote health, safety and wellbeing",Refined,More active and specific language focused on same content
HPE,Health and Physical Education,Foundation,VC2HPFM01,VCHPEM064,"Practise fundamental movement skills and movement sequences using different body parts and in response to stimuli in indoor, outdoor and aquatic settings",Refined,"Movement sequences more logical commencement point at Levels 3 and 4, once fundamental movement skills are established"
HPE,Health and Physical Education,Foundation,VC2HPFM02,VCHPEM067,"Identify and describe how their body moves in relation to effort, space, time, objects and people",Refined,Refined to reflect the need for the content description to be taught and learnt through movement
HPE,Health and Physical Education,Foundation,,VCHPEM065,Participate in games with and without equipment,Removed,"Removed, acknowledging the embeddedness of this content description elsewhere"
HPE,Health and Physical Education,Foundation,VC2HPFM03,VCHPEP063,Participate in play that promotes engagement with outdoor settings including aquatic and the natural environment,Updated,Moved from Contributing to healthy and active communities sub-strand (VC1) and merged content descriptions to enhance teachability
HPE,Health and Physical Education,Foundation,VC2HPFM03,VCHPEM066,Explore how regular physical activity keeps individuals healthy and well,Updated,Moved from Contributing to healthy and active communities sub-strand (VC1) and merged content descriptions to enhance teachability
HPE,Health and Physical Education,Foundation,VC2HPFM04,VCHPEM070,Follow rules when participating in physical activities,Refined,Refined
HPE,Health and Physical Education,Foundation,VC2HPFM05,VCHPEM068,Cooperate with others when participating in physical activities,Refined,Refined
HPE,Health and Physical Education,Foundation,,VCHPEM069,Use trial and error to test solutions to movement challenges,Removed,Removed
HPE,Health and Physical Education,Years 1 and 2,VC2HP2P01,VCHPEP071,"Describe their own strengths and achievements and those of others, and identify how these contribute to personal identities",Refined,‘Personal characteristics’ replaces ‘strengths and achievements’
HPE,Health and Physical Education,Years 1 and 2,VC2HP2P02,VCHPEP072,Describe physical and social changes that occur as children grow older and discuss how family and community acknowledge these,Refined,No change
HPE,Health and Physical Education,Years 1 and 2,VC2HP2P03,VCHPEP075,Describe ways to include others to make them feel that they belong,Refined,More explicitly flagging where Respectful Relationships is to be taught with inclusion of this language in the content description
HPE,Health and Physical Education,Years 1 and 2,VC2HP2P04,VCHPEP076,Identify and practise emotional responses that account for own and others’ feelings,Refined,Refined
HPE,Health and Physical Education,Years 1 and 2,VC2HP2P05,,,New,New content description
HPE,Health and Physical Education,Years 1 and 2,VC2HP2P06,VCHPEP073,"Practise strategies they can use when they need help with a task, problem or situation at home and/or at school",Refined,Refined with focus on contemporary term ‘protective behaviours’
HPE,Health and Physical Education,Years 1 and 2,VC2HP2P07,VCHPEP077,Examine health messages and how they relate to health decisions and behaviours,Refined,"More specific focus on promoting health, safety and wellbeing"
HPE,Health and Physical Education,Years 1 and 2,,VCHPEP074,"Recognise situations and opportunities to promote their own health, safety and wellbeing",Removed,Absorbed into above content descriptions for better teachability
HPE,Health and Physical Education,Years 1 and 2,,VCHPEP078,"Explore actions that help make the classroom a healthy, safe and active place",Removed,Absorbed into above content descriptions for better teachability
HPE,Health and Physical Education,Years 1 and 2,VC2HP2M01,VCHPEM080,"Perform fundamental movement skills in different movement situations in indoor, outdoor and aquatic settings",Refined,Refined
HPE,Health and Physical Education,Years 1 and 2,VC2HP2M02,VCHPEM084,"Incorporate elements of effort, space, time, objects and people in performing simple movement sequences",Refined,"Refined, with an added focus on reflection"
HPE,Health and Physical Education,Years 1 and 2,,VCHPEM081,Construct and perform imaginative and original movement sequences in response to stimuli,Removed,"Removed, movement sequences thread commences at Levels 3 and 4"
HPE,Health and Physical Education,Years 1 and 2,,VCHPEM082,Create and participate in games,Removed,Removed for teachability – implied through other content descriptions
HPE,Health and Physical Education,Years 1 and 2,VC2HP2M03,VCHPEP079,Identify and explore natural and built environments in the local community where physical activity can take place,Refined,Moved from Contributing to healthy and active communities sub-strand (VC1)
HPE,Health and Physical Education,Years 1 and 2,,VCHPEM083,Discuss the body’s reactions to participating in physical activities,Removed,"Removed, this content commences at Levels 3 and 4"
HPE,Health and Physical Education,Years 1 and 2,VC2HP2M04,VCHPEM087,Identify rules and fair play when creating and participating in physical activities,Refined,More explicit outcomes and also acknowledges the need for teacher support in developing rules
HPE,Health and Physical Education,Years 1 and 2,VC2HP2M05,VCHPEM085,Use strategies to work in group situations when participating in physical activities,Refined,Refined
HPE,Health and Physical Education,Years 1 and 2,,VCHPEM086,Propose a range of alternatives and test their effectiveness when solving movement challenges,Removed,Removed
HPE,Health and Physical Education,Years 3 and 4,VC2HP4P01,VCHPEP088,"Examine how success, challenge and failure strengthen personal identities",Refined,Refined
HPE,Health and Physical Education,Years 3 and 4,VC2HP4P02,VCHPEP089,"Explore strategies to manage physical, social and emotional change",Refined,Refined to provide greater clarity on what is to be taught and learnt
HPE,Health and Physical Education,Years 3 and 4,VC2HP4P03,,,New,New content description
HPE,Health and Physical Education,Years 3 and 4,VC2HP4P04,VCHPEP092,Describe factors that can positively influence relationships and personal wellbeing,Refined,Greater focus on personal and social skills with additional clarity on what students are expected to do with the content
HPE,Health and Physical Education,Years 3 and 4,VC2HP4P05,,,New,New content description
HPE,Health and Physical Education,Years 3 and 4,VC2HP4P06,VCHPEP093,Investigate how emotional responses vary in family situations and in friendship groups,Refined,Refined
