SubjectArea,Subject,Band,Strand,Substrand,ContentCode_V2,ContentDescription_V2,Topic,Elaboration
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN01,Identify number names and representations of number,,"Participating in activities, stories, songs and music that involve number names, numerals and quantities; for example, nodding as objects are counted, tapping an object as it is counted, assisting to move objects from one container to another as each object is counted, or repeating some number names as objects are counted"
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN01,Identify number names and representations of number,,"Participating in activities that model one-to-one correspondence, such as putting pegs on a string number line one by one, when counting is being modelled"
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN01,Identify number names and representations of number,,"Responding to number names in everyday situations; for example, waiting for counting down or counting up before starting an action (‘Three, two, one, go’) or stepping, clapping, vocalising, making a sound or tapping a switch for each number being counted"
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN01,Identify number names and representations of number,,"Observing and indicating representations of numbers in a familiar environment; for example, identifying numerals in the classroom, even if they are not always correct in naming the numerals, such as saying ‘two’ when the numeral is 5"
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN02,"Identify, name and represent ‘one’ and ‘more’ using physical and virtual materials",,"Representing ‘one’ using a single object; for example, handing over one object when asked for ‘one’, pointing to the one object when shown a group of objects and one object, or looking at the single object when asked ‘Where is one?’ when offered 2 options"
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN02,"Identify, name and represent ‘one’ and ‘more’ using physical and virtual materials",,"Identifying collections as either ‘one’ object or ‘more’ objects; for example, saying ‘more’ or a bigger number to indicate collections that are more than one, or indicating the group of objects when shown collections of ‘one cow’ and ‘more cows’"
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN02,"Identify, name and represent ‘one’ and ‘more’ using physical and virtual materials",,"Using an action, gesture or vocalisation to indicate when they want more or fewer objects"
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN03,Compare the quantity of collections using direct comparison to identify which has more or if they are different,,"Participating in collections being directly compared; for example, matching quantities of 2 groups to identify which one has ‘more’"
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN03,Compare the quantity of collections using direct comparison to identify which has more or if they are different,,"Participating in the comparison of groups using modelled counting; for example, observing modelled counting using one-to-one correspondence and identifying whether 2 groups of objects are ‘different’ or which group has ‘more’"
Mathematics,Mathematics,Foundation B,Number,,VC2MFBN03,Compare the quantity of collections using direct comparison to identify which has more or if they are different,,"Comparing collections of familiar objects by directly matching quantities of each group to determine if they are different; for example, lining up 2 collections and using matching to determine if the collections have a different number"
