Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation,Media Arts,"By the end of Foundation, students describe experiences, observations, ideas and feelings about media arts works they encounter at school, home and in the community.",Exploring,describe,VC2AMAFE01,High
Foundation,Media Arts,Students develop an understanding of media arts processes.,Developing Practices,develop,"VC2AMAFE02,VC2AMAFD01,VC2AMAFC01",High
Foundation,Media Arts,"They use play, imagination and experimentation with media arts processes to create media arts works.",Creating,"create, use, experiment","VC2AMAFE02,VC2AMAFD01,VC2AMAFC01",High
Foundation,Media Arts,Students make and share media arts works to communicate their experiences and ideas.,Creating,"make, share","VC2AMAFE02,VC2AMAFD01,VC2AMAFC01",High
Levels 1 and 2,Media Arts,"By the end of Level 2, students identify where they experience media arts.",Exploring,identify,VC2AMA2E01,High
Levels 1 and 2,Media Arts,"They describe where, when, why and how people across cultures, times, places and/or other contexts experience media arts.",Exploring,describe,VC2AMA2E01,High
Levels 1 and 2,Media Arts,Students experiment with media production processes.,Developing Practices,experiment,"VC2AMA2D01,VC2AMA2C01",High
Levels 1 and 2,Media Arts,They use media arts languages and technologies to construct representations in media arts works.,Developing Practices,"present, use, construct","VC2AMA2D01,VC2AMA2C01",High
Levels 1 and 2,Media Arts,Students share their work with audiences in informal settings.,Presenting,share,VC2AMA2P01,High
Levels 3 and 4,Media Arts,"By the end of Level 4, students identify and describe the media languages and media technologies used to construct representations in media arts works they experience and/or produce.",Exploring,"identify, describe, produce, present, use","VC2AMA4E01,VC2AMA4D01,VC2AMA4C01",High
Levels 3 and 4,Media Arts,"They recall where, when, why and how media arts works are created and distributed across cultures, times, places and other contexts, including the work of Aboriginal and Torres Strait Islander Peoples.",Exploring,"create, recall","VC2AMA4E01,VC2AMA4E02",High
Levels 3 and 4,Media Arts,Students explore and experiment with media arts production processes and technologies.,Developing Practices,"explore, experiment","VC2AMA4D01,VC2AMA4C01",High
Levels 3 and 4,Media Arts,"They use media languages, technologies and production processes to communicate ideas, perspectives and meaning in media arts works.",Developing Practices,use,"VC2AMA4D01,VC2AMA4C01",High
Levels 3 and 4,Media Arts,Students share their work in informal and formal settings with different audiences using responsible media practice.,Presenting,share,VC2AMA4P01,High
Levels 5 and 6,Media Arts,"By the end of Level 6, students explain how media languages and media technologies are used in media arts works they construct and experience.",Developing Practices,"use, construct, explain","VC2AMA6E01,VC2AMA6D01,VC2AMA6C01",High
Levels 5 and 6,Media Arts,"They describe how media arts works are created across cultures, times, places and other contexts to communicate ideas, perspectives and meaning.",Exploring,"describe, create","VC2AMA64E01,VC2AMA6E02,VC2AMA6P01",High
