SubjectArea,Subject,Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
English,English,Foundation A,,VCELA025,Respond to a familiar person and engage with them,Removed,"Removed due to duplication. Can be found in VC2EFALA01, VC2EFALY01 and VC2EFALY02"
English,English,Foundation A,VC2EFALA01,VCELA026,"Explore how sound, facial expression and actions can cause a change",Refined,Refined to include active language and align with Foundation level
English,English,Foundation A,,VCELA024,Use sounds and facial expressions to affect familiar others,Removed,Removed from Foundation level
English,English,Foundation A,,VCELA001,"Encounter various forms of texts and respond to sounds, text, symbols, images or objects in their environment",Removed,Removed due to duplication. Can be found in VC2EFALA03
English,English,Foundation A,VC2EFALA02,VCELA002,"Encounter books, print and digital texts and respond to images in the text",Refined,Refined to include active language and greater specificity of skill
English,English,Foundation A,,VCELA015,"Respond to images, objects and the spoken word",Removed,Removed from Foundation level
English,English,Foundation A,,VCELA003,"Experience sentences being used to express ideas and information and responds to different words, sounds and noise",Removed,Removed due to duplication. Can be found in VC2EFALY03
English,English,Foundation A,,VCELA004,Respond to words and groups of words and objects in texts and in the environment,Removed,Removed due to duplication. Can be found in VC2EFALE02
English,English,Foundation A,VC2EFALA03,VCELA027,Respond to vocabulary used in everyday experiences,Updated,Combined and refined to create greater specificity of skill and alignment to Foundation level
English,English,Foundation A,VC2EFALA03,VCELA005,Respond to images and words in texts,Updated,Combined and refined to create greater specificity of skill and alignment to Foundation level
English,English,Foundation A,,VCELA016,"React to different sounds, and words, and respond to visual text",Removed,Removed due to duplication. Can be found in VC2EFALY02
English,English,Foundation A,VC2EFALE01,VCELT008,"React to texts, related to personal experience and familiar events",Refined,Refined to align with Foundation level and to include text selection diversity aligned to cross-curriculum priorities
English,English,Foundation A,,VCELY011,Respond to texts within the everyday environment,Removed,Removed due to duplication. Can be found in VC2EFALE02
English,English,Foundation A,VC2EFALE02,VCELT030,"Respond to images, sounds or actions within a multimodal text",Updated,Combined 2 content descriptions to form one and refined to align to Foundation level
English,English,Foundation A,VC2EFALE02,VCELT031,"Respond to texts listened to, viewed or read",Updated,Combined 2 content descriptions to form one and refined to align to Foundation level
English,English,Foundation A,,VCELT009,Experience and respond to different types of literary texts in various modes,Removed,Removed due to duplication. Can be found in VC2EFALE02
English,English,Foundation A,,VCELT010,"Experience texts with different features, events and characters and respond to different literary texts",Removed,Removed due to duplication. Can be found in VC2EFALE02
English,English,Foundation A,,VCELT032,"Respond to the use of rhythms and sound patterns in stories, rhymes, songs and poems from a range of cultures",Removed,Removed due to duplication. Can be found in VC2EFALE01 and Foundation Level B VC2EFBLE04
English,English,Foundation A,,VCELT019,Encounter literature being created for various reasons and purposes and react to the retelling of a literary text,Removed,Removed due to duplication. Can be found in VC2EFALY03
English,English,Foundation A,,VCELT033,React to texts and familiar parts of a preferred text,Removed,Removed due to duplication. Can be found in VC2EFALY03
English,English,Foundation A,VC2EFALY01,VCELY034,Respond to various types of communication,Refined,Refined for clarity and specificity related to skill
English,English,Foundation A,,VCELY035,React to others sharing and delivering a presentation on a personally or culturally relevant event,Removed,Removed due to duplication. Can be found in VC2EFALY02
English,English,Foundation A,VC2EFALY02,VCELA029,Encounter words being isolated into onset and rime,Updated,Combined and refined due to duplication and clearer alignment to Foundation level
English,English,Foundation A,VC2EFALY02,VCELA028,Respond to different sounds and words used in everyday experiences,Updated,Combined and refined due to duplication and clearer alignment to Foundation level
English,English,Foundation A,VC2EFALY02,VCELA007,React to preferred sounds,Updated,Combined and refined due to duplication and clearer alignment to Foundation level
English,English,Foundation A,VC2EFALY02,VCELA018,React to familiar voices and preferred sounds,Updated,Combined and refined due to duplication and clearer alignment to Foundation level
English,English,Foundation A,,VCELA006,Encounter words and writing within the environment and respond to spoken words in familiar environments,Removed,Removed due to duplication. Can be found in VC2EFALY03
English,English,Foundation A,,VCELA017,"Experience people writing, speaking and communicating using various modes",Removed,Removed due to duplication. Can be found in VC2EFALY02
English,English,Foundation A,,VCELY012,"React to a range of texts including visual, audio and print text",Removed,Removed due to duplication. Can be found in VC2EFALE02
English,English,Foundation A,,VCELY011,Respond to texts within the everyday environment,Removed,Removed due to duplication. Can be found in VC2EFALE02
English,English,Foundation A,,VCELY014,React to a variety of imaginative and informative texts,Removed,Removed due to duplication. Can be found in VC2EFALA02
English,English,Foundation A,,VCELY013,Experience and respond to different forms of communication and texts being read or viewed,Removed,Removed due to duplication. Can be found in VC2EFALY02
English,English,Foundation A,VC2EFALY03,VCELY020,React to the construction of text that reflects everyday events and activities,Refined,Refined to include active language
English,English,Foundation A,,VCELY021,Respond to group text and personalised text being edited,Removed,Removed to reduce duplication. Can be found in VC2EFALY03
English,English,Foundation A,VC2EFALY04,VCELY022,Encounter a variety of objects and textures and hold objects for a short period of time,Refined,Refined to include active language and greater specificity of skill
English,English,Foundation A,,VCELY023,React to software being used to construct texts that reflect everyday events and activities,Removed,Removed from the Foundation level curriculum
English,English,Foundation B,,VCELA060,Recognise ways to gain and maintain attention,Removed,Removed due to duplication. Can be found in VC2EFBLY01
English,English,Foundation B,VC2EFBLA01,VCELA061,Demonstrate a number of ways to indicate a choice,Refined,Refined for clarity and alignment of language to Foundation level
English,English,Foundation B,,VCELA059,"Use sounds, gestures, images and facial expressions to communicate",Removed,Removed from Foundation level
English,English,Foundation B,,VCELA036,"Recognise that texts can have many forms, can use images, objects and symbols",Removed,Removed due to duplication. Can be found in VC2EFBLA03
English,English,Foundation B,,VCELA037,Recognise and attend to images in texts and on the screen,Removed,Removed due to duplication. Can be found in VC2EFBLA04
English,English,Foundation B,VC2EFBLA02,VCELA050,"Recognise the connection between an object, image and spoken word",Refined,Refined to align to Foundation and provide greater specificity of skill
English,English,Foundation B,,VCELA038,Know that an object has a name,Removed,Removed due to duplication. Can be found in VC2EFBLA05
English,English,Foundation B,VC2EFBLA03,VCELA038,Know that an object has a name,Refined,Refined for clarity and greater specificity of skill
English,English,Foundation B,VC2EFBLA04,VCELA039,"Recognise an object when named, signed or shown in an image",Refined,Refined for clarity and alignment to Foundation level
English,English,Foundation B,VC2EFBLA05,VCELA040,Recognise familiar objects and images in stories and informative texts,Refined,Refined for clarity and alignment to Foundation level
English,English,Foundation B,,VCELA062,"Recognise the connection between words, images, sounds and everyday objects",Removed,Removed due to duplication with refined content descriptions
English,English,Foundation B,VC2EFBLE01,VCELT043,Respond to texts which reflect personal and family experiences,Refined,Refined to align with Foundation level and to include text selection diversity aligned to cross-curriculum priorities
English,English,Foundation B,VC2EFBLE02,VCELT065,Identify a preferred text,Refined,Language refined to reflect alignment to Foundation level
English,English,Foundation B,,VCELT066,Respond to familiar images or sounds during shared reading/viewing of texts,Removed,Removed from Foundation level
English,English,Foundation B,VC2EFBLE03,VCELT045,Recognise a familiar event or character during shared reading or viewing of text,Updated,Combined 2 content descriptions to form one to align with Foundation level
English,English,Foundation B,VC2EFBLE03,VCELT044,"Attend to features of literary texts such as images, rhyme and refrains",Updated,Combined 2 content descriptions to form one to align with Foundation level
English,English,Foundation B,VC2EFBLE04,VCELT044,"Attend to features of literary texts such as images, rhyme and refrains",Refined,Language refined to align with Foundation level
English,English,Foundation B,,VCELT054,Select an image and illustration to represent a familiar literary text or recent event,Removed,Removed due to duplication. Can be found in VC2EFBLE03 and VC2EFBLY06
English,English,Foundation B,,VCELT068,"Assist to modify a text by producing a sound, noise or using an object",Removed,Removed due to duplication. Can be found in VC2EFBLE03 and VC2EFBLY06
English,English,Foundation B,VC2EFBLY01,VCELY069,Listen to and respond to simple instructions,Refined,Language refined to be more inclusive
English,English,Foundation B,,VCELY070,Respond to a presentation on an everyday experience,Removed,Removed due to duplication. Can be found in VC2EFBLY01
English,English,Foundation B,,VCELA063,Connect sounds and words and match them to objects,Removed,Removed due to duplication. Can be found in VC2EFBLA05
English,English,Foundation B,VC2EFBLY02,VCELA064,Copy a sound,Refined,Refined
English,English,Foundation B,VC2EFBLY03,VCELA042,Reproduce sounds associated with familiar objects and names,Updated,"Combined 2 content descriptions to form one
Included specificity about this skill"
English,English,Foundation B,VC2EFBLY03,VCELA053,Recognise different sounds and words and their connection to objects and people,Updated,"Combined 2 content descriptions to form one
Included specificity about this skill"
English,English,Foundation B,,VCELA041,"Explore the concept of difference through matching letters, images, shapes and familiar words and sounds",Removed,Refined for greater clarity and incorporated into VC2EFBLY03
English,English,Foundation B,VC2EFBLY04,VCELA052,Reproduce speech sounds to communicate basic wants and use images and objects to express their wants and ideas,Refined,Refined to align with Foundation level
English,English,Foundation B,,VCELY047,Use images to obtain meaning from shared texts,Removed,Removed due to duplication. Can be found in VC2EFBLA04
English,English,Foundation B,,VCELY046,Attend to texts that have a variety of contexts,Removed,Removed due to duplication. Can be found in VC2EFBLE01
English,English,Foundation B,,VCELY049,Attend to imaginative and informative texts including visual schedules in everyday experiences,Removed,Removed due to duplication. Can be found in VC2EFBLY05
English,English,Foundation B,VC2EFBLY05,VCELY048,Attend to images while listening to and viewing texts,Refined,Refined to reduce duplication and align with Foundation level
English,English,Foundation B,VC2EFBLY06,VCELY055,Select image to be used in a short text about a special event,Updated,Combined and refined to align to Foundation level
English,English,Foundation B,VC2EFBLY06,VCELY056,Make simple choices during shared construction of personalised multimodal text,Updated,Combined and refined to align to Foundation level
English,English,Foundation B,VC2EFBLY07,VCELY057,Grasp and move objects within and between their hands,Refined,Refined to provide greater specificity of skill
English,English,Foundation B,,VCELY058,Use software or applications to select images and sounds for shared texts,Removed,Removed from Foundation level
English,English,Foundation C,,VCELA095,Recognise ways to greet and interact with familiar people,Removed,Removed due to duplication. Can be found in VC2EFCLY01
English,English,Foundation C,VC2EFCLA01,VCELA096,"Recognise different ways to communicate needs, likes and dislikes",Refined,Refined to align with Foundation level
English,English,Foundation C,,VCELA094,"Recognise that words, images and actions have the same meaning across environments",Removed,Removed from Foundation level
English,English,Foundation C,,VCELA071,Recognise that texts and communication can take various forms including multimodal and picture books,Removed,Removed due to duplication. Can be found in VC2EFCLE01
English,English,Foundation C,VC2EFCLA02,VCELA072,Know that successive pages or images in a book or on a screen present a story in sequence,Refined,Refined to align with Foundation level and provide greater specificity of skill
English,English,Foundation C,,VCELA085,"Know that symbols, words and images can communicate needs",Removed,Removed due to duplication. Can be found in VC2EFCLA06
English,English,Foundation C,VC2EFCLA03,VCELA073,Recognise that a group of words can communicate a message,Refined,Refined for clarity and alignment to Foundation level
English,English,Foundation C,VC2EFCLA04,VCELA074,"Know how to use the connection between the object, its name, image or sign",Refined,Refined for clarity and alignment to Foundation level
English,English,Foundation C,VC2EFCLA05,VCELA075,"Recognise the use of images to represent an event, object or idea",Refined,Refined for clarity and alignment to Foundation level
English,English,Foundation C,VC2EFCLA06,VCELA097,"Use words and images to make a request, indicate a choice, recount information, and express a feeling",Refined,Refined for clarity and alignment to Foundation level
English,English,Foundation C,,VCELA086,Know their written name (as a grapheme) and match the letters in their name,Removed,"Removed due to duplication. Can be found in VC2EFCLY03, VC2EFCLY04 and VC2EFCLY05"
English,English,Foundation C,VC2EFCLE01,VCELT078,Recognise key events in texts which reflect personal and familiar experiences,Refined,Refined to align with Foundation level and to include text selection diversity aligned to cross-curriculum priorities
English,English,Foundation C,VC2EFCLE02,VCELT100,"Identify a preferred aspect of text, such as image, refrain within a multimodal text",Updated,Combined 2 content descriptions to form one
English,English,Foundation C,VC2EFCLE02,VCELT101,Identify a favourite character or event within a story,Updated,Combined 2 content descriptions to form one
English,English,Foundation C,VC2EFCLE03,VCELT080,Recognise familiar texts which share the same character or similar topic or event,Updated,"Combined 2 content descriptions to form one, refined language and aligned to Foundation Level"
English,English,Foundation C,VC2EFCLE03,VCELT079,Identify characteristics of familiar literary texts including poetry,Updated,"Combined 2 content descriptions to form one, refined language and aligned to Foundation Level"
English,English,Foundation C,VC2EFCLE04,VCELT102,Repeat and follow rhythms and sound patterns in familiar rhymes and songs from a range of cultures,Refined,Refined language and aligned to Foundation level
English,English,Foundation C,VC2EFCLE05,VCELT089,Retell an event or familiar text through images and illustrations,Updated,"Combined 2 content descriptions to form one, refined language and aligned to Foundation level"
English,English,Foundation C,VC2EFCLE05,VCELT103,Modify part of a refrain from a familiar text,Updated,"Combined 2 content descriptions to form one, refined language and aligned to Foundation level"
English,English,Foundation C,VC2EFCLY01,VCELY104,Listen to and respond to the communication from an adult in classroom situations,Refined,Refined and aligned to Foundation level
English,English,Foundation C,VC2EFCLY02,VCELY105,Deliver some comment to a small group,Refined,Refined to provide greater specificity of skill
