Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Elaboration
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K01,"The features of government, law and key democratic values","Explaining the reasons why a particular decision-maker, such as a parent or the school principal, is the person making the decision and comparing this to a government, which makes decisions for a particular area"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K01,"The features of government, law and key democratic values","Identifying laws that apply to students, parents, teachers and schools"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K01,"The features of government, law and key democratic values","Discussing examples of freedom, fairness and equality in students’ lives"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K02,How and why decisions are made democratically in communities,Nominating one person to be responsible for making classroom rules and comparing this to allowing the whole class to contribute to making classroom rules
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K02,How and why decisions are made democratically in communities,Comparing how decisions are made within a family versus within a school
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K02,How and why decisions are made democratically in communities,"Examining the shift from monarchies to democracies over time, as in France or the USA, and where there is a mix of both, as in the UK or Japan"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K03,The roles of local government and how members of the community use and contribute to local services,Examining how local government is chosen and by whom
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K03,The roles of local government and how members of the community use and contribute to local services,"Investigating what local government does, including the services it provides, such as environment and waste management, libraries, health services, parks, cultural events, pools and sport facilities, and arts and pet management"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K03,The roles of local government and how members of the community use and contribute to local services,"Describing how local government services impact on the lives of students, and discussing how local groups/organisations and students can use their voices and make responsible choices about the services that impact them and their environment"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Laws and citizens,VC2HC4K04,"The differences between rules and laws, why laws are important and how they affect the lives of people",Discussing some rules that they might have in their family or with friends but that are not laws
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Laws and citizens,VC2HC4K04,"The differences between rules and laws, why laws are important and how they affect the lives of people","Explaining that laws apply to everyone, whereas rules can just apply to particular groups"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Laws and citizens,VC2HC4K04,"The differences between rules and laws, why laws are important and how they affect the lives of people",Examining classroom and/or school rules and discussing whether these are also laws
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Laws and citizens,VC2HC4K04,"The differences between rules and laws, why laws are important and how they affect the lives of people",Describing laws that everyone follows all the time and explaining why it is important to follow these laws
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Laws and citizens,VC2HC4K05,The rights and responsibilities of people in their communities,Discussing why people have rights and why those rights are important
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Laws and citizens,VC2HC4K05,The rights and responsibilities of people in their communities,"Explaining that responsibilities come with rights, and why those responsibilities are important"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,Laws and citizens,VC2HC4K05,The rights and responsibilities of people in their communities,"Examining the communities that students are a part of, and their rights and responsibilities within those communities"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,"Citizenship, diversity and identity",VC2HC4K06,"Diversity of cultural, religious and/or social groups to which they and others in the community belong, and their importance to identity","Identifying diversity through the different social, cultural and religious groups students belong to and describing what makes them feel that they belong to those groups"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,"Citizenship, diversity and identity",VC2HC4K06,"Diversity of cultural, religious and/or social groups to which they and others in the community belong, and their importance to identity","Listing and comparing the different beliefs, traditions and symbols used by groups"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,"Citizenship, diversity and identity",VC2HC4K06,"Diversity of cultural, religious and/or social groups to which they and others in the community belong, and their importance to identity","Recognising that the identity of Aboriginal and Torres Strait Islander Peoples is shaped by Country and Place, including language and knowledge traditions"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,"Citizenship, diversity and identity",VC2HC4K07,Why people participate within communities and how students can actively participate and contribute to communities,Identifying groups that actively participate in the local community or through a virtual community and examining their purpose
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,"Citizenship, diversity and identity",VC2HC4K07,Why people participate within communities and how students can actively participate and contribute to communities,"Examining how they could participate in a school or community project, for example raising money for a relevant aid project, such as supporting disadvantaged communities overseas, or working to protect a bird habitat"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,"Citizenship, diversity and identity",VC2HC4K07,Why people participate within communities and how students can actively participate and contribute to communities,"Investigating how an individual’s contribution can be recognised, for example school awards or an Order of Australia award"
Civics and Citizenship,Levels 3 and 4,Knowledge and Understanding,"Citizenship, diversity and identity",VC2HC4K07,Why people participate within communities and how students can actively participate and contribute to communities,"Explaining the motivations of individuals who contribute to communities, such as local community volunteers, leaders and Elders"
Civics and Citizenship,Levels 3 and 4,Skills,Investigating contemporary civics and citizenship issues,VC2HC4S01,"Identify and develop questions to investigate contemporary political, legal and civic issues","Identifying different questions about a contemporary political, legal or civic issue that relate to decision-making"
Civics and Citizenship,Levels 3 and 4,Skills,Investigating contemporary civics and citizenship issues,VC2HC4S01,"Identify and develop questions to investigate contemporary political, legal and civic issues",Describing a question about people participating in communities
Civics and Citizenship,Levels 3 and 4,Skills,Investigating contemporary civics and citizenship issues,VC2HC4S02,"Select and organise information, data and ideas from different sources to describe a contemporary issue",Identifying a contemporary issue that relates to a law
Civics and Citizenship,Levels 3 and 4,Skills,Investigating contemporary civics and citizenship issues,VC2HC4S02,"Select and organise information, data and ideas from different sources to describe a contemporary issue",Connecting a contemporary issue to a democratic or non-democratic decision that was made
Civics and Citizenship,Levels 3 and 4,Skills,Investigating contemporary civics and citizenship issues,VC2HC4S02,"Select and organise information, data and ideas from different sources to describe a contemporary issue",Sorting the different communities they are part of into groups
Civics and Citizenship,Levels 3 and 4,Skills,Investigating contemporary civics and citizenship issues,VC2HC4S02,"Select and organise information, data and ideas from different sources to describe a contemporary issue",Sorting a list of rights and responsibilities into either rights or responsibilities
Civics and Citizenship,Levels 3 and 4,Skills,Evaluating democratic institutions and systems,VC2HC4S03,"Describe at least one political, legal or civic institution or system and why it is important",Identifying a local government and the services it provides to the community
Civics and Citizenship,Levels 3 and 4,Skills,Evaluating democratic institutions and systems,VC2HC4S03,"Describe at least one political, legal or civic institution or system and why it is important",Describing how local government is a democratic decision-making body
Civics and Citizenship,Levels 3 and 4,Skills,Participating in civic processes,VC2HC4S04,Use consensus-building and deliberation to discuss an issue that affects their classroom,Deliberating about what makes good decision-making
Civics and Citizenship,Levels 3 and 4,Skills,Participating in civic processes,VC2HC4S04,Use consensus-building and deliberation to discuss an issue that affects their classroom,Reaching a consensus on the difference between a rule and a law as a whole class
Civics and Citizenship,Levels 3 and 4,Skills,Participating in civic processes,VC2HC4S04,Use consensus-building and deliberation to discuss an issue that affects their classroom,Reaching consensus on rules that apply in the classroom
Civics and Citizenship,Levels 3 and 4,Skills,Communicating,VC2HC4S05,Describe a civics and citizenship issue using ideas from sources and subject-specific terminology,Describing the rights and responsibilities of people in their communities through a poster
Civics and Citizenship,Levels 3 and 4,Skills,Communicating,VC2HC4S05,Describe a civics and citizenship issue using ideas from sources and subject-specific terminology,Drawing a picture of local government or people contributing to communities
