Subject,Term,Definition
Music,Articulation,"In music, the way a note is sung or played, such as short and detached (staccato), smooth (legato) or accented, which contributes to the overall style and interpretation."
Music,Audience(s),"Individuals or groups of people who experience the arts in a range of settings and contexts (formal, informal, virtual or interactive) through intellectual, emotional and social engagement. The artist is audience to their own artwork."
Music,Aural skills,"Aural skills are listening skills used to identify and analyse specific elements of music, such as the duration of a note, the interval (distance) between 2 notes or the structure/quality of a chord. Aural skills complement purposeful or active listening and can be used when listening, composing and performing sounds."
Music,Chart,An abbreviated form of music notation that describes the basic harmonic and rhythmic information for a song.
Music,Composition,"In music, a piece of music or music work."
Music,Compositional devices,"Approaches or devices used to manipulate and organise sound (e.g. motif, repetition, abstraction, sequence, transition, contrast, variation, canon, inversion, unison, ground bass, imitation)."
Music,Conventions,"Traditionally, stylistically or culturally accepted ways of doing things. Each art form has hundreds of conventions built up over time. Conventions are dynamic and ever-changing."
Music,Copyright,"Legal rights in creative work (e.g. text, images, music, computer programs, sound recordings, film). The creator or copyright owner has the right to prevent others copying the work without permission."
Music,Country,"The physical environment that a particular Aboriginal and Torres Strait Islander Peoples' group has a relationship with. Referring to this territory as 'Country', rather than land, indicates a reciprocal and deep relationship and one where Country both owns and is owned by the People. The concept of Country includes lands, waters and sky."
Music,Culture,"A body of beliefs, attitudes, languages, skills, knowledge, laws, customs and tools by which communities structure and organise their lives and interactions."
Music,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information. In music, this includes digital audio workstations (DAWs) and other digital tools for making and producing music, for recording and notating, and to assist in rehearsing and practising music skills."
Music,Documentation/notation,"Written symbols that represent and communicate sound. Notation can be invented, recognisable to a traditional style or culture, or digitally created."
Music,Dynamics,"In music, dynamics and expression refers to how the sound is performed, including sound qualities (e.g. the relative volume and intensity of sound)."
