Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Health and Physical Education,Foundation,"Personal, Social and Community Health",Identities and change,VC2HPFP01,Investigate who they are and the people in their world,,"Making personal connections with stories that explore identity and belonging; discussing who they are, where they come from and people in their lives (MH, RS)"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Identities and change,VC2HPFP01,Investigate who they are and the people in their world,,"Understanding similarities and differences in Aboriginal and Torres Strait Islander family structures and family structures in other cultures (MH, RS)"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Identities and change,VC2HPFP01,Investigate who they are and the people in their world,,"Exploring cultural practices from different cultures, including the cultures of Asia, that are important to individuals, families and communities (MH)"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Identities and change,VC2HPFP01,Investigate who they are and the people in their world,,"Identifying different families in their communities, for example 2-parent, single-parent, extended, blended and same-sex families (MH)"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Identities and change,VC2HPFP01,Investigate who they are and the people in their world,,"Identifying ways they use their strengths when participating in different types of play, games and activities across a variety of settings to help themselves and others to be successful, such as in cooperative play, partner and group physical activities and classroom games (AP, RS)"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Identities and change,VC2HPFP01,Investigate who they are and the people in their world,,Recognising the uniqueness of different people in a team and classroom and acknowledging the right for everyone to belong and contribute (MH)
Health and Physical Education,Foundation,"Personal, Social and Community Health",Identities and change,VC2HPFP02,Name parts of the body and describe how their body is growing and changing,,Recognising how bodies grow and change over time (RS)
Health and Physical Education,Foundation,"Personal, Social and Community Health",Identities and change,VC2HPFP02,Name parts of the body and describe how their body is growing and changing,,Recording and mapping growth on individual and group growth charts (RS)
Health and Physical Education,Foundation,"Personal, Social and Community Health",Identities and change,VC2HPFP02,Name parts of the body and describe how their body is growing and changing,,"Identifying private parts of the body and understanding the contexts in which body parts should be kept private (RS, S)"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Interacting with others,VC2HPFP03,Practise personal and social skills to interact respectfully with others,,"Explaining their actions in response to challenging situations in shared play experiences (AP, RS)"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Interacting with others,VC2HPFP03,Practise personal and social skills to interact respectfully with others,,"Practising personal skills, such as expressing needs, wants and feelings, active listening and showing self-regulation, to be an effective group member at home and at school (RS)"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Interacting with others,VC2HPFP03,Practise personal and social skills to interact respectfully with others,,"Identifying behaviours that are respectful, inclusive and safe during play (MS, RS, S)"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Interacting with others,VC2HPFP03,Practise personal and social skills to interact respectfully with others,,"Discussing how it feels to be included in activities (AP, HBPA, RS)"
