Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Levels 7 and 8,VC2AVC8E01,VCAVCDR004,"Identify and describe the purpose, intended audience and context in a range of visual communications from different historical, social and cultural contexts",Refined,Change in content description wording to broaden the investigation to practices of visual communication designers. Moved from Respond and Interpret strand in VC1 to Exploring in VC2
Levels 7 and 8,VC2AVC8E02,,,New,New content description drawing on some components of the content description from the Respond and Interpret strand in VC1
Levels 7 and 8,VC2AVC8D01,VCAVCDV002,Use manual and digital drawing methods and conventions to create a range of visual communications,Refined,Change in terminology in the Developing Practices strand in VC2. Focus on skill development through exploration and experimentation
Levels 7 and 8,VC2AVC8D02,,,New,Changed content description to broaden the understanding of the Visual Communication Design process and the practices of designers. Content has been drawn from the Explore and Represent Ideas strand and Respond and Interpret strand in VC1
Levels 7 and 8,VC2AVC8C01,VCAVCDP003,"Develop and present visual communications for different purposes, audiences and in response to specific needs",Refined,Components from the content descriptions in the Present and Perform strand and Visual Communication Design Practices strand in VC1 have been combined. Focus on applying the Visual Communication Design process and key concepts to create visual communications for an audience or user. Links to VCE Visual Communication Design and Media
Levels 7 and 8,VC2AVC8C02,VCAVCDE001,"Explore and apply methods, materials, media, design elements and design principles to create and present visual communications",Refined,Change in terminology to align with the concepts of the Presenting strand in VC2. Content description focuses on the use of key concepts in the Visual Communication Design process. Links to VCE Visual Communication Design
Levels 7 and 8,VC2AVC8P01,VCAVCDP003,"Develop and present visual communications for different purposes, audiences and in response to specific needs",Refined,Change in terminology to align with the concepts of the Presenting strand in VC2. Links to VCE Visual Communication Design
Levels 9 and 10,VC2AVC10E01,VCAVCDR010,"Analyse and evaluate the factors that influence design decisions in a range of visual communications from different historical, social and cultural contexts, including presentations by Aboriginal and Torres Strait Islander peoples",Refined,"Content descriptions from the Respond and Interpret strand in VC1 have been combined to align with the structure of the Exploring strand in VC2. Focus on Australian designers including Aboriginal and Torres Strait Islander designers. The content description provides a link to the key knowledge and skills of VCE Visual Communication Design, Visual Arts and Media"
Levels 9 and 10,VC2AVC10E01,VCAVCDR011,"Analyse and evaluate the use of methods, media, materials, design elements and design principles in visual communications from different historical, social and cultural contexts, including presentations by Aboriginal and Torres Strait Islander peoples",Refined,"Content descriptions from the Respond and Interpret strand in VC1 have been combined to align with the structure of the Exploring strand in VC2. Focus on Australian designers including Aboriginal and Torres Strait Islander designers. The content description provides a link to the key knowledge and skills of VCE Visual Communication Design, Visual Arts and Media"
Levels 9 and 10,VC2AVC10E02,VCAVCDR010,"Analyse and evaluate the factors that influence design decisions in a range of visual communications from different historical, social and cultural contexts, including presentations by Aboriginal and Torres Strait Islander peoples",Refined,"Content description has moved from the Respond and Interpreting strand in VC1 to the Exploring strand in VC2 to align with the Visual Communication Design process. Relationship with content, key knowledge and key skills in VCE Visual Arts, Media and Visual Communication Design. Focus on the work of Australian designers, including Aboriginal and Torres Strait Islander Peoples"
Levels 9 and 10,VC2AVC10E02,VCAVCDR011,"Analyse and evaluate the use of methods, media, materials, design elements and design principles in visual communications from different historical, social and cultural contexts, including presentations by Aboriginal and Torres Strait Islander peoples",Refined,"Content description has moved from the Respond and Interpreting strand in VC1 to the Exploring strand in VC2 to align with the Visual Communication Design process. Relationship with content, key knowledge and key skills in VCE Visual Arts, Media and Visual Communication Design. Focus on the work of Australian designers, including Aboriginal and Torres Strait Islander Peoples"
Levels 9 and 10,VC2AVC10D01,VCAVCDV008,"Use manual and digital drawing methods to create visual communications in the specific design fields of Environmental, Industrial and Communication Design",Refined,"Change in terminology to align with the key concepts of Visual Communication Design. Links to VCE Visual Arts, Media and Visual Communication Design study designs"
Levels 9 and 10,VC2AVC10D02,,,New,"Content from the Explore and Represent Ideas strand in VC1 has been moved to the Creating strand in VC2. Change in terminology to align with key concepts in Visual Communication Design VC2. Links to VCE Visual Arts, Media and Visual Communication Design study designs"
Levels 9 and 10,VC2AVC10C01,VCAVCDP009,"Develop a brief that identifies a specific audience and needs, and present visual communications that meet the brief",Refined,"Components of the Explore and Represent Ideas, Visual Communication Design Practices, and Present and Perform strands of VC1 have been combined to align with the key concepts of the Creating strand in VC2. Terminology links to VCE Visual Communication Design"
Levels 9 and 10,VC2AVC10C01,VCAVCDE007,"Generate, develop and refine visual communication presentations in response to the brief",Refined,"Components of the Explore and Represent Ideas, Visual Communication Design Practices, and Present and Perform strands of VC1 have been combined to align with the key concepts of the Creating strand in VC2. Terminology links to VCE Visual Communication Design"
