Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P01,Evaluate factors that shape identities and evaluate how individuals influence the identities of others,,"Evaluating how societal norms, stereotypes and expectations influence how young people view themselves and how they deal with these influences (MH)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P01,Evaluate factors that shape identities and evaluate how individuals influence the identities of others,,"Investigating how cultural beliefs and practices surrounding transitions to adulthood may differ between cultures, including the cultures of Aboriginal and Torres Strait Islander Peoples and Asian cultures (MH)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P01,Evaluate factors that shape identities and evaluate how individuals influence the identities of others,,"Analysing the role of family, friends and community in supporting an individual’s identity, and proposing strategies to demonstrate acceptance of diversity to enhance their own and others’ wellbeing (MH)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P01,Evaluate factors that shape identities and evaluate how individuals influence the identities of others,,"Examining how societal norms, stereotypes and expectations influence perceptions of movement competence (HBPA, MH)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,"Practising skills to deal with challenging or unsafe situations, such as refusal skills, communicating choices, expressing opinions and initiating contingency plans (AD, MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,"Assessing behavioural expectations in different relationships and social situations, and examining how these expectations can influence decisions and actions (MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,Analysing the changing roles and responsibilities for Aboriginal and Torres Strait Islander Peoples as their social standing changes within their communities (RS)
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,"Discussing the impact of code switching on the development of identities for Aboriginal and Torres Strait Islander Peoples (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,"Rehearsing strategies to respectfully assert their stance on a situation, dilemma or decision by expressing thoughts, opinions and beliefs that acknowledge the feelings and opinions of others and contribute to optimal wellbeing (MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P03,Investigate how gender equality and challenging assumptions about gender can prevent violence and abuse in relationships,,"Investigating and challenging attitudes that lead to people enacting, excusing or condoning gender-based violence (RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P03,Investigate how gender equality and challenging assumptions about gender can prevent violence and abuse in relationships,,"Analysing ways that attitudes towards gender equality and power can affect expectations and behaviour and lead to practices of sexual coercion, harassment, violence and submission (RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P03,Investigate how gender equality and challenging assumptions about gender can prevent violence and abuse in relationships,,"Evaluating how gender equality can empower people to develop equal and respectful relationships (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Identities and change,VC2HP10P03,Investigate how gender equality and challenging assumptions about gender can prevent violence and abuse in relationships,,"Investigating the relationship between the way that appearance is valued across genders and how this might relate to respect, inclusion and gender equality (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,"Investigating the characteristics of positive, respectful relationships and the rights and ethical responsibilities of individuals in relationships (RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,"Investigating how the balance of power influences the nature of relationships and proposing actions that can be taken when a relationship is not balanced and respectful (RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,"Investigating how demonstrating support for causes that promote truth-telling can build cultural awareness, empathy and respectful relationships (RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,"Identifying the ways in which historical patterns of inequity, violence and discrimination can have lasting intergenerational effects on wellbeing, and considering strategies to build the cultural awareness, empathy, compassion and respect that contribute to reconciliation (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,"Investigating how bullying, racism and gender-based violence can take different forms, including verbal, physical, emotional, sexual and economic forms, and can occur in both face-to-face and online environments (RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P05,"Propose strategies and actions individuals and groups can implement to challenge biases, stereotypes, prejudices and discrimination, and promote inclusion in their communities",,"Analysing the implications of attitudes and behaviours that marginalise, discriminate, are appearance-based, homophobic, racist, violent and harass individuals and communities, and proposing countermeasures to prevent these behaviours (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P05,"Propose strategies and actions individuals and groups can implement to challenge biases, stereotypes, prejudices and discrimination, and promote inclusion in their communities",,"Investigating community health resources to evaluate how accessible they are for marginalised individuals and groups, and proposing changes to improve inclusiveness and accessibility (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P05,"Propose strategies and actions individuals and groups can implement to challenge biases, stereotypes, prejudices and discrimination, and promote inclusion in their communities",,"Critiquing media representations of different cultural and racial groups and analysing whether the representations are respectful, realistic and inclusive (MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P05,"Propose strategies and actions individuals and groups can implement to challenge biases, stereotypes, prejudices and discrimination, and promote inclusion in their communities",,"Analysing messages about gender norms and stereotypes in popular culture and considering the impact these might have on individuals, institutions and communities (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P05,"Propose strategies and actions individuals and groups can implement to challenge biases, stereotypes, prejudices and discrimination, and promote inclusion in their communities",,"Proposing strategies to challenge stereotypes, prejudices, biases and discrimination that target specific cultural groups, such as Aboriginal and Torres Strait Islander Peoples and Australians of Asian heritage (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P06,Evaluate emotional responses in different situations to refine strategies for managing emotions to positively impact health and wellbeing,,"Proposing strategies for managing emotional responses and resolving conflict in a family, school or social situation, or online environment (MH)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P06,Evaluate emotional responses in different situations to refine strategies for managing emotions to positively impact health and wellbeing,,"Reflecting on the possible consequences of not recognising their own or others’ emotions in a range of challenging situations, including responses to rejection, failure, harassment and violence (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P06,Evaluate emotional responses in different situations to refine strategies for managing emotions to positively impact health and wellbeing,,"Evaluating situations where an individual may react with extreme or uncontrolled emotion, and reflecting on the impact that this response may have on the situation and/or their relationships (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P07,"Examine how strategies, such as communicating choices, seeking, giving and denying consent, and expressing opinions and needs can support the development of respectful relationships, including sexual relationships",,"Investigating the legal requirements in the state of Victoria in relation to seeking, giving, refusing and accepting the refusal of consent, and considering how these laws relate to relationships with friends, colleagues, strangers and intimate partners, in both online and offline interactions (RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P07,"Examine how strategies, such as communicating choices, seeking, giving and denying consent, and expressing opinions and needs can support the development of respectful relationships, including sexual relationships",,"Reflecting on the potential impact of their own behaviour on others and the importance of taking responsibility for their own actions to ensure they do no harm to others, for example at a party or when driving (AD, MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Interacting with others,VC2HP10P07,"Examine how strategies, such as communicating choices, seeking, giving and denying consent, and expressing opinions and needs can support the development of respectful relationships, including sexual relationships",,"Refining strategies to clearly and respectfully communicate their choices, needs and opinions in a range of relationship scenarios, such as in romantic, sexual, peer-group, family or work situations (RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P08,"Plan, rehearse and evaluate strategies (including first aid and CPR) for managing situations where their own or others’ health, safety or wellbeing may be negatively impacted at home, school and in the community",,"Critiquing the appropriateness and effectiveness of help and support services available for young people in the local community (MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P08,"Plan, rehearse and evaluate strategies (including first aid and CPR) for managing situations where their own or others’ health, safety or wellbeing may be negatively impacted at home, school and in the community",,"Proposing and practising a range of realistic responses to scenarios where peers are encouraging them to take unnecessary risks, such as in relation to the use of alcohol, cigarettes, e-cigarettes, cannabis, psychostimulants, opiates or hallucinogens (AD, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P08,"Plan, rehearse and evaluate strategies (including first aid and CPR) for managing situations where their own or others’ health, safety or wellbeing may be negatively impacted at home, school and in the community",,"Planning and practising responses to emergencies where they may be required to administer first aid to a friend or stranger, including CPR (S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P08,"Plan, rehearse and evaluate strategies (including first aid and CPR) for managing situations where their own or others’ health, safety or wellbeing may be negatively impacted at home, school and in the community",,"Understanding the factors that impact a person’s ability to seek, give or deny consent, including when a person is affected by alcohol and other drugs or there is an imbalance of power or coercion within the relationship (AD, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P08,"Plan, rehearse and evaluate strategies (including first aid and CPR) for managing situations where their own or others’ health, safety or wellbeing may be negatively impacted at home, school and in the community",,"Examining practices, policies and processes for ensuring safe blood practices in a range of situations, including not sharing needles, taking precautions when participating in physical activities, administering first aid, and safe practices during sexual activity, including the use of condoms and dams (HBPA, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P08,"Plan, rehearse and evaluate strategies (including first aid and CPR) for managing situations where their own or others’ health, safety or wellbeing may be negatively impacted at home, school and in the community",,"Evaluating visual and multimodal health campaigns in print-based and digital environments to promote health and wellbeing in their community (AD, FN, HBPA, MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P09,"Critique health information, services and media messaging about relationships, lifestyle choices, health decisions and behaviours to evaluate their influence on their own, others’ and community’s attitudes and actions",,"Critiquing health information and services that provide advice and support on issues targeted at specific groups of young people, including support with substance use, food choices, fitness and exercise plans, mental health, sexual health and personal safety (AD, FN, HBPA, MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P09,"Critique health information, services and media messaging about relationships, lifestyle choices, health decisions and behaviours to evaluate their influence on their own, others’ and community’s attitudes and actions",,"Recognising the foods eaten by people of a range of different cultures (including Aboriginal and Torres Strait Islander Peoples) and explaining why these foods are important to communities, for reasons beyond nutrition (FN)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P09,"Critique health information, services and media messaging about relationships, lifestyle choices, health decisions and behaviours to evaluate their influence on their own, others’ and community’s attitudes and actions",,"Evaluating strategies and actions to increase safety, such as road safety and water safety programs, and planning to promote these in the school and community (S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P09,"Critique health information, services and media messaging about relationships, lifestyle choices, health decisions and behaviours to evaluate their influence on their own, others’ and community’s attitudes and actions",,"Investigating proactive community strategies for promoting better access and improved health outcomes for different groups in the community, including Aboriginal and Torres Strait Islander Peoples, people living in remote areas and people with disabilities, for example remote area dialysis buses and community-based treatment options (AD, FN, HBPA, MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P09,"Critique health information, services and media messaging about relationships, lifestyle choices, health decisions and behaviours to evaluate their influence on their own, others’ and community’s attitudes and actions",,"Discussing how the portrayal of sexual relationships in TV shows, advertisements, movies, popular music and online content (such as pornography) may influence people’s beliefs about respectful, safe and consensual relationships (RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P09,"Critique health information, services and media messaging about relationships, lifestyle choices, health decisions and behaviours to evaluate their influence on their own, others’ and community’s attitudes and actions",,"Investigating how the use of gambling advertisements (‘gamble responsibly’ taglines) on TV and online accessibility to gambling may influence young people’s attitudes and behaviours around gambling, and proposing strategies to educate young people (MH, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P10,"Plan, justify and critique strategies to enhance their own, others’ and community’s health, safety, relationships and wellbeing",,"Investigating community-action initiatives young people have led that have had a positive influence on the health and wellbeing of their communities and instigating similar initiatives that could have a positive impact on the health and wellbeing of their community (AD, FN, HBPA, MH, RS, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P10,"Plan, justify and critique strategies to enhance their own, others’ and community’s health, safety, relationships and wellbeing",,"Investigating how cultural rights of Aboriginal and Torres Strait Islander Peoples include maintaining traditional diets, and explaining how these have proven health and wellbeing benefits (FN, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P10,"Plan, justify and critique strategies to enhance their own, others’ and community’s health, safety, relationships and wellbeing",,"Analysing the influence social, cultural and economic factors may have on health behaviours and help-seeking strategies, such as factors associated with menstrual health, gender diversity, sexual health and mental illness (MH, RS)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P10,"Plan, justify and critique strategies to enhance their own, others’ and community’s health, safety, relationships and wellbeing",,"Proposing constructive, healthy and manageable actions when using digital tools and digital media to promote respect, inclusion and the wellbeing of others, such as researching what to do if they, or someone they know, is being targeted online (MH, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P10,"Plan, justify and critique strategies to enhance their own, others’ and community’s health, safety, relationships and wellbeing",,"Investigating community-based initiatives to keep young people safe, such as initiatives targeting road safety, e-cigarettes, alcohol and drug use and gambling, and devising strategies to promote safe practices that will contribute to the health and wellbeing of young people in their communities, such as at school and sporting clubs (AD, MH, S)"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP10P10,"Plan, justify and critique strategies to enhance their own, others’ and community’s health, safety, relationships and wellbeing",,"Designing and evaluating strategies that enhance their own and others’ mental health and wellbeing, such as regular physical activity, positive self-talk, consistent sleep habits, mindfulness and social connection (HBPA, MH)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M01,"Analyse, apply and adapt their own and others’ movement skills in a range of challenging movement situations to enhance performance in indoor, outdoor and aquatic settings",,"Using knowledge of results feedback to support another student in refining a skill to perform with greater accuracy and control (CA, GS)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M01,"Analyse, apply and adapt their own and others’ movement skills in a range of challenging movement situations to enhance performance in indoor, outdoor and aquatic settings",,"Using digital tools to record their own and others’ performance and providing feedback on timing of movement in relation to teammates, opposition players, movement of the ball or other external stimuli (GS)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M01,"Analyse, apply and adapt their own and others’ movement skills in a range of challenging movement situations to enhance performance in indoor, outdoor and aquatic settings",,"Adapting and responding to changes in equipment that increase the complexity of a movement task or performance (CA, GS, RE)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M01,"Analyse, apply and adapt their own and others’ movement skills in a range of challenging movement situations to enhance performance in indoor, outdoor and aquatic settings",,"Analysing their own or others’ performances, such as at a swimming, cross-country or athletics carnival, and proposing strategies for refining technique to improve performance (CA, GS, LLPA)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M01,"Analyse, apply and adapt their own and others’ movement skills in a range of challenging movement situations to enhance performance in indoor, outdoor and aquatic settings",,"Transferring and adapting skills learned in one movement situation to different situations, such as in outdoor environments or aquatic settings (CA, GS, LLPA, RE)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M02,Create and refine movement strategies to achieve successful outcomes across a range of challenging movement situations,,"Reviewing, proposing and implementing alternative responses to movement situations based on the outcome of previous performances (CA, GS, LLPA, RE)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M02,Create and refine movement strategies to achieve successful outcomes across a range of challenging movement situations,,"Performing and refining specialised movement skills in situations where the rules or conditions have been modified to vary complexity (CA, GS)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M02,Create and refine movement strategies to achieve successful outcomes across a range of challenging movement situations,,"Adapting and refining movement strategies to enhance movement outcomes when using different types of equipment (CA, GS, LLPA, RE)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M02,Create and refine movement strategies to achieve successful outcomes across a range of challenging movement situations,,Evaluating the effectiveness of a range of strategies in game situations using a personally developed set of criteria and suggesting how to adapt to improve performance (GS)
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M03,Apply movement concepts in new or challenging movement situations and analyse the impact they have on movement outcomes,,"Experimenting with the manipulation of force and speed applied to an object to examine the difference created in movement paths, such as top-spin forehands and outswing bowling (AP, GS)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M03,Apply movement concepts in new or challenging movement situations and analyse the impact they have on movement outcomes,,"Analysing a range of ways the body can absorb force and evaluating which techniques and equipment are most effective in preventing potential injury across a range of movement tasks (CA, GS, RE, S)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M03,Apply movement concepts in new or challenging movement situations and analyse the impact they have on movement outcomes,,"Analysing and describing how individual or team performance has improved through modifications to the use of space and time (AP, CA, GS)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M04,"Evaluate their own and others’ movement compositions and provide and apply feedback to enhance performance, including the impact of the movement elements of time, effort, space, people and objects",,Providing constructive feedback on their own and others’ group performance of a movement sequence (RE)
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M04,"Evaluate their own and others’ movement compositions and provide and apply feedback to enhance performance, including the impact of the movement elements of time, effort, space, people and objects",,Creating and evaluating a group performance that demonstrates synchronous and individual movements (RE)
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M04,"Evaluate their own and others’ movement compositions and provide and apply feedback to enhance performance, including the impact of the movement elements of time, effort, space, people and objects",,"Using digital tools to record others’ performance, and providing feedback on synchronicity and timing of movements in relation to other people, objects or external stimuli (GS, RE)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Moving our bodies,VC2HP10M04,"Evaluate their own and others’ movement compositions and provide and apply feedback to enhance performance, including the impact of the movement elements of time, effort, space, people and objects",,"Providing constructive feedback on their own and others’ performance by using movement-analysis software to break down a skill or sequence (CA, GS, RE)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Making active choices,VC2HP10M05,"Participate in and evaluate physical activities designed to enhance health, fitness and wellbeing",,"Performing a range of activities designed to improve fitness and analysing how the activities improve individual fitness components (GS, HBPA, LLPA)"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,Making active choices,VC2HP10M05,"Participate in and evaluate physical activities designed to enhance health, fitness and wellbeing",,"Proposing realistic physical activity goals, and designing, implementing and evaluating a personalised program to incorporate regular physical activity into their weekly routines (HBPA)"
